job,job_category,job_description,median_salary,growth_in_ten,overall_score,salary_score,job_market_score,future_growth_score,stress_score,work_life_balance_score,upward_mobility,stress_level,flexibility,how_to_become,url,work_life_balance,promising_job,popular_word,times_pop,paid_count
Database Administrator,Technology,"While the pronunciation of the word “data” always seems to be up for debate, the importance of protecting said data is not. Database administrators set up databases according to a company’s requirements, in addition to maintaining its operations and implementing the appropriate security measures.",96710.0,7400.0,6.7,7.8,8.0,8.0,4.0,6.0,Above Average,Above Average,Average,"Database Administrators made a median salary of $96,710 in 2021. The best-paid 25% made $124,550 that year, while the lowest-paid 25% made $63,160. Employers generally require a bachelor's degree in a computer-related field, such as computer science or management information systems, although some favor applicants with a master's degree in business administration with a concentration in data or database management. Database administrators can earn certifications for specific database platforms and must be familiar with the programming language their employer uses. ",https://money.usnews.com/careers/best-jobs/database-administrator,1,1,database,4,55
Computer Network Architect,Technology,"If you've ever saved something to the cloud, then you've depended on the handiwork of a computer network architect. These professionals design, build and maintain a variety of data communication networks, from expansive cloud infrastructures to smaller intranets.",120520.0,7500.0,6.2,8.7,6.0,8.0,4.0,4.0,Above Average,Above Average,Below Average,"Computer Network Architects made a median salary of $120,520 in 2021. The best-paid 25% made $151,960 that year, while the lowest-paid 25% made $83,870. Computer network architects usually need at least a bachelor's degree in computer science, information systems or a related field, such as engineering. Getting an undergraduate degree in a computer-related major, however, is preferable because it gives students the hands-on skills they'll need to perform on the job. Acquiring an MBA in information systems is also good because it gives applicants the specialized business skills that are useful in the field. Employers also like would-be computer network architects to have anywhere from five to 10 years of professional experience in information systems before they would consider them for the role. ",https://money.usnews.com/careers/best-jobs/computer-network-architect,0,1,network,3,57
Computer Systems Administrator,Technology,Computer systems administrators perform duties ranging from identifying and fixing network issues to updating equipment and software.,80600.0,11300.0,6.1,7.1,8.0,6.0,6.0,6.0,Above Average,Average,Average,"Computer Systems Administrators made a median salary of $80,600 in 2021. The best-paid 25% made $102,720 that year, while the lowest-paid 25% made $62,970. Network and computer systems administrator jobs often require a bachelor's degree – typically in computer or information science, although sometimes a degree in computer engineering or electrical engineering is acceptable. Coursework in computer programming, networking or systems design will be helpful. Some businesses require that an administrator get a master's degree, while others are willing to accept an associate degree or professional certification along with related work experience. Completing certification programs and otherwise keeping up with new technologies is also important. ""It's imperative to stay current with technology trends and changes by reading blogs, technology magazines and attending conferences,"" says Simran Sandhu, senior manager of network engineering services at Splunk, a software company based in San Francisco. ""It's also important to study and learn the basics of network technology and acquire an acute understanding of how information flows. Be able to identify key services such as DNS, DHCP and firewalls, and define the roles they play in a network infrastructure."" ",https://money.usnews.com/careers/best-jobs/network-and-computer-systems-administrator,1,1,network,4,59
Computer Support Specialist,Technology,A computer support specialist’s job is a combination of customer service and troubleshooting. These specialists help computer owners and users troubleshoot and fix problems.,49770.0,42700.0,5.0,5.6,4.0,2.0,6.0,4.0,Average,Average,Below Average,"Computer Support Specialists made a median salary of $49,770 in 2021. The best-paid 25% made $68,130 that year, while the lowest-paid 25% made $39,380. While some employers may require a postsecondary degree or certification, Diaz says computer support specialists are typically assessed on their overall level of competency, technical acumen and customer service skills. ""Proving that you can do the job"" is most important, says Diaz, who has a degree in network engineering but considers himself self-taught in the nuances of his current job. He recommends being well-versed in operating systems and hardware components, having Microsoft Office training and pursuing a CompTIA A+ certification, which is earned by taking two exams that determine your general competency as a computer technician. For computer network support specialists, the requirements may be more stringent, and employers are likely to hire only applicants who possess at least an associate degree. ",https://money.usnews.com/careers/best-jobs/computer-support-specialist,0,0,support,3,61
Occupational Therapy Assistant,Health Care Support,"Occupational therapists rely on occupational therapy assistants to help patients with therapeutic activities and exercises, teach patients to use special equipment and record patients’ progress in their treatment.",61730.0,11000.0,7.1,6.2,,8.0,6.0,6.0,Average,Average,Average,"Occupational Therapy Assistants made a median salary of $61,730 in 2021. The best-paid 25% made $76,740 that year, while the lowest-paid 25% made $50,880. Occupational therapy assistants must earn a degree from a program accredited by the Accreditation Council for Occupational Therapy Education, a division of the American Occupational Therapy Association (AOTA). Typically these are associate degree programs, although some schools offer bachelor’s degree programs for occupational therapy assistants. In addition to the required class work, students usually must complete at least 16 hours of fieldwork as part of these degree programs, according to the BLS.Graduates of accredited programs hoping to enter the field must sit for the National Board for Certification in Occupational Therapy exam to become certified occupational therapy assistants. To maintain this certification, occupational therapy assistants must meet continuing education requirements every three years.All 50 states, Washington, D.C., Guam and Puerto Rico require occupational therapy assistants to be licensed to provide services, according to the AOTA. After passing the national exam, occupational therapy assistants must be licensed in the state where they practice. Check with your state licensing board to learn about any specific requirements for taking the exam, as well as obtaining and maintaining licensure, since regulations vary by state. ",https://money.usnews.com/careers/best-jobs/occupational-therapy-assistant,1,1,occupational,10,83
Dental Hygienist,Health Care Support,"Dental hygienists typically work alongside dentists, cleaning a patient’s teeth, taking X-rays and applying fluoride.",77810.0,19000.0,6.5,7.0,6.0,6.0,6.0,10.0,Average,Average,High,"Dental Hygienists made a median salary of $77,810 in 2021. The best-paid 25% made $98,260 that year, while the lowest-paid 25% made $73,540. Here are the steps to take to start a career as a dental hygienist: 1. Complete a dental hygiene program. Most hygienists have at least an associate degree in dental hygiene. Graduating from a program accredited by the Commission on Dental Accreditation is required for licensure.2. Obtain a license. Dental hygienists need a state-specific license to practice. The requirements vary state to state, but most require graduation from an accredited program and completion of a written and practical exam.3. Continue your education. Some dental hygienists earn bachelor’s degrees in dental hygiene – and even master’s degrees to further their careers. Local dental schools, dental hygiene programs or the ADHA may offer continuing education opportunities for dental hygienists, such as coursework in local anesthesia. To maintain their license, dental hygienists must complete state-specific continuing education requirements. Some jobs may also require CPR certification. Some hygienists may decide to study dentistry, but working as a dental hygienist isn't a shortcut to becoming a dentist. Hygienists who choose to pursue a Doctor of Dental Surgery will have the same length of study – plus years of residency. ",https://money.usnews.com/careers/best-jobs/dental-hygienist,1,1,dental,14,85
Physical Therapist Assistant,Health Care Support,Helping patients with their physical therapy plans is the main task of physical therapist assistants. They work to fix damages on their patients from various injuries.,61180.0,25600.0,6.5,6.2,4.0,8.0,6.0,6.0,Average,Average,Average,"Physical Therapist Assistants made a median salary of $61,180 in 2021. The best-paid 25% made $75,870 that year, while the lowest-paid 25% made $48,670. Physical therapist assistants must have an associate degree from an accredited physical therapy program. These programs, of which there are about 300 in the country, include didactic coursework and a clinical component. All states require that physical therapist assistants become licensed. Obtaining this licensure usually requires completing an accredited physical therapist assistant program and passing the certifying board exam, offered through the Federation of State Boards of Physical Therapy. Some states might additionally insist that practicing physical therapist assistants meet other requirements, such as passing a criminal background check or state-specific exams. ",https://money.usnews.com/careers/best-jobs/physical-therapist-assistant,1,1,physical,7,87
Medical Records Technician,Health Care Support,"Medical records technicians are extremely detail-oriented professionals who use information from medical records to assign diagnosis and procedure codes. Their work is essential for patients’ reimbursement claims, research and tracking and monitoring disease patterns.",46660.0,12300.0,6.3,5.4,8.0,8.0,8.0,8.0,Average,Below Average,Above Average,"Medical Records Technicians made a median salary of $46,660 in 2021. The best-paid 25% made $59,120 that year, while the lowest-paid 25% made $36,930. To become a medical records technician, you need an associate degree or postsecondary certificate in health information technology or a similar field. These will likely include courses like medical terminology, anatomy, health care reimbursement methods, and classification and coding systems. Most employers also want their medical records technicians to get a professional certification, such as the Registered Health Information Technician certification through the American Health Information Management Association. ",https://money.usnews.com/careers/best-jobs/medical-records-technician,1,1,medical,4,89
Veterinary Technologist and Technician,Health Care Support,"This job is not necessarily glamorous, but your commitment to animals is a must. Veterinary technologists and technicians might handle such responsibilities as lab work or surgery assistance.",36850.0,24100.0,6.2,4.8,8.0,6.0,6.0,4.0,Below Average,Average,Below Average,"Veterinary Technologists and Technicians made a median salary of $36,850 in 2021. The best-paid 25% made $45,750 that year, while the lowest-paid 25% made $29,810. Veterinary technologists and technicians earn two- or four-year degrees in veterinary technology. While they share many of the same responsibilities, technologists typically hold four-year bachelor's degrees in veterinary technology, whereas technicians hold two-year associate degrees. They must also pass an exam and become certified, licensed or registered, depending on the state. Strong science and math backgrounds are essential, Legred says, because much of the job involves drug calculations and lab tests. ",https://money.usnews.com/careers/best-jobs/veterinary-technologist-and-technician,0,1,veterinary,4,91
Diagnostic Medical Sonographer,Health Care Support,"While people often associate sonograms with babies, diagnostic medical sonographers also create images of organs and tissues to help diagnose medical conditions.",77740.0,12100.0,6.1,7.0,6.0,6.0,4.0,4.0,Average,Above Average,Below Average,"Diagnostic Medical Sonographers made a median salary of $77,740 in 2021. The best-paid 25% made $95,360 that year, while the lowest-paid 25% made $62,560. There are bachelor's and associate degree programs in sonography, and many students already have undergraduate degrees in math or science. The curriculum includes anatomy, physiology, instrumentation and other medical courses. While there isn't a formal licensure process in most states, most employers prefer candidates who have passed a professional certification exam. Candidates may need to meet education and clinical experience requirements to sit for a certification exam. ",https://money.usnews.com/careers/best-jobs/diagnostic-medical-sonographer,0,1,medical,2,93
Home Health Aide,Health Care Support,"Home health aides are trained to assist individuals with diabetes, chronic illness or cognitive impairment with the daily activities many people take for granted.",29430.0,924000.0,6.1,4.3,2.0,10.0,4.0,4.0,Average,Above Average,Below Average,"Home Health Aides made a median salary of $29,430 in 2021. The best-paid 25% made $30,230 that year, while the lowest-paid 25% made $24,090. You do not need a college degree to become a home health aide, and there are multiple paths you can take to prepare for this job. Exact training requirements vary by state and employer – some states require home health aides to be licensed, for example. Those hoping to enter the field can also enroll in certificate programs offered at community colleges and vocational schools.Some organizations provide internal training for the home health aides they employ. And home health and hospice organizations that receive money from federal programs like Medicaid and Medicare may have training requirements to meet regulations.Regardless of specific requirements, home health aides generally complete a mix of classroom and hands-on training. They learn proper techniques and body mechanics for transferring patients, how to use a lift to help someone out of bed, personal hygiene and basic safety protocols such as how to respond to an emergency. According to the BLS, home health aides may also be required to maintain CPR and first aid certification.Home health aide licenses must be renewed and renewal frequency differs by state. While certificates, such as those earned through a community college, don’t have to be renewed per se, many organizations require their home health aides to complete in-service training each year to show their skills are up to date. ",https://money.usnews.com/careers/best-jobs/home-health-aide,0,1,home,9,95
Personal Care Aide,Health Care Support,"Compassion is the top asset for those interested in being a personal care aide. These professionals assist people with physical and mental disabilities and chronic illness, and perform non-medical daily tasks.",29430.0,924000.0,6.1,4.3,2.0,10.0,4.0,4.0,Below Average,Above Average,Below Average,"Personal Care Aides made a median salary of $29,430 in 2021. The best-paid 25% made $30,230 that year, while the lowest-paid 25% made $24,090. Personal care aides are often trained on the job by nurses, other aides and supervisors who teach personal care aides how to cook for clients with dietary restrictions, adhere to safety techniques and respond to emergencies. Some states require more standardized training, which is acquirable through community colleges, vocational schools, elder care programs and home health care agencies. Formal training is generally necessary for personal care aides interested in using the career as a springboard to a more advanced position such as a home health aide or registered nurse. ",https://money.usnews.com/careers/best-jobs/personal-care-aide,0,1,care,6,97
Orthotist and Prosthetist,Health Care Support,"Orthotists and prosthetists are the designers behind artificial limbs, including arms, hands, legs and feet, as well as body braces and other medical and surgical devices. Also known as O&P professionals, they work directly with patients in order to design and fit the devices, and instruct them on use.",75440.0,1900.0,6.1,6.9,6.0,4.0,6.0,6.0,Average,Average,Average,"Orthotists and Prosthetists made a median salary of $75,440 in 2021. The best-paid 25% made $95,810 that year, while the lowest-paid 25% made $55,710. The road to becoming an orthotist and prosthetist usually begins with a bachelor's degree, or taking the necessary prerequisite courses for getting into an orthotics and prosthetics program. Most of these master's degree programs take about two years to finish. Next, these professionals undergo a residency program in orthotics, prosthetics or both. Once finished with these, they can sit through a series of certification exams. ",https://money.usnews.com/careers/best-jobs/orthotist-and-prosthetist,1,0,paid,2,99
MRI Technologist,Health Care Support,"Anyone who has ever spent time in the big tube in an MRI machine had a capable MRI technologist to ease them through the process. These professionals run the MRI scanner to obtain images of what's going on inside your body, and they might inject you with dyes to help the physician better see a potential problem.",77360.0,3000.0,6.0,7.0,6.0,6.0,6.0,6.0,Below Average,Average,Average,"MRI Technologists made a median salary of $77,360 in 2021. The best-paid 25% made $90,050 that year, while the lowest-paid 25% made $62,090. MRI technologists can get their associate degree in radiography from a program accredited by the Joint Review Committee on Education in Radiologic Technology. They can then specialize in MRI technology while on the job. After they meet certain criteria – didactic education, clinical hours, ethical standards – they can sit for their certification exams through the American Registry of Radiologic Technologists.Another on-ramp to the profession is to complete a formal magnetic resonance imaging training at the outset (without going the radiologic technology route) and then taking the certification exams through the ARRT or the American Registry of Magnetic Resonance Imaging Technologists. MRI technologists have to complete continuing education courses to keep their certification up-to-date. Some states also require these professionals to get licensed. ",https://money.usnews.com/careers/best-jobs/mri-technologist,1,1,technologists,5,101
Epidemiologist/Medical Scientist,Science,"Epidemiologists work in hospitals, laboratories and universities to identify the causes of diseases and prevent said diseases from spreading and recurring.",78830.0,2200.0,6.8,7.0,8.0,4.0,6.0,6.0,Average,Average,Average,"Epidemiologists or Medical Scientists made a median salary of $78,830 in 2021. The best-paid 25% made $101,600 that year, while the lowest-paid 25% made $62,350. Epidemiologists usually need at least a master’s degree in a relevant field. Although no specific major is required to become an epidemiologist, the BLS says a master’s degree in public health with an emphasis in epidemiology is common. Those who orchestrate research projects usually have a doctoral degree; Sandler, for example, has a Ph.D. in epidemiology.“Epidemiology programs include coursework in public health, biological and physical sciences, and math and statistics,” according to the BLS. “Topics of study may include comparative health care systems, medical informatics, and survey and study design.”Undergraduate students who plan to apply for a graduate epidemiology program might consider majoring in biology, social science, or public policy and social services.Others who enter the epidemiology field are medical professionals. Nurses who earn a master’s degree in clinical epidemiology can use their skills as a nurse epidemiologist to ensure patients receive the best possible care with a low risk of infection. They can instruct hospital employees on these best practices and conduct research to determine risk factors for infection. Some epidemiologists also have a degree in medicine, which requires going to medical school.Degree and training requirements depend on the student’s chosen career path within the epidemiology field. ",https://money.usnews.com/careers/best-jobs/epidemiologist,1,0,epidemiology,7,103
Biochemist,Science,"Biochemists apply scientific knowledge to a variety of positions, including medicinal research and work with genetically modified organisms.",102270.0,5700.0,6.4,8.0,6.0,4.0,6.0,6.0,Above Average,Average,Average,"Biochemists made a median salary of $102,270 in 2021. The best-paid 25% made $132,390 that year, while the lowest-paid 25% made $79,000. Biochemists with a bachelor's or a bachelor's and a master's degree may be eligible for entry-level positions in the field. However, only those who have earned Ph.D.s can land the lauded jobs in independent research and development. Earning a postdoctoral research appointment is another good way to grow one's experience and heighten one's chances of landing a good permanent position in the field. 

Alberts recommends that students get into research labs as soon as possible, preferably in their freshman year, to get a real sense of what a career in biochemistry might look like. ",https://money.usnews.com/careers/best-jobs/biochemist,1,0,research,3,105
Psychologist,Science,"Psychologists study our behavior and how our brains function, and can help patients work through emotional, behavioral and psychological issues, as well as diagnose disorders.",102900.0,1500.0,6.3,8.0,10.0,4.0,4.0,8.0,Average,Above Average,Above Average,"Psychologists made a median salary of $102,900 in 2021. The best-paid 25% made $120,240 that year, while the lowest-paid 25% made $73,910. Those hoping to become clinical, counseling or research psychologists will need a doctoral degree, which they can acquire one of two ways. Some psychologists earn a doctorate in psychology, which is a research degree that involves passing an exhaustive exam and writing a dissertation based on their own original research. Others choose to go the clinical route with a doctoral degree in psychology, or Psy.D., which usually involves more practical experience and exams as opposed to research and dissertation writing. A one-year internship is usually a requirement as well.  Most states also require that their psychologists become licensed. And although licensing laws vary by state, most require a completed doctoral degree, a completed internship, one or two years of supervised practice and a passing mark on the Examination for Professional Practice in Psychology. Continuing education courses are generally required to keep licensure as well.  Certification is another hurdle, which is not always essential, but nonetheless can portray expertise in a particular area of psychology, from family psychology to rehabilitation psychology. Psychologists can obtain certification through the American Board of Professional Psychology or the American Board of Professional Neuropsychology. School psychologists and organizational psychologists, however, have differing training requirements.  A major difference between a psychologist and a psychiatrist is that unlike psychiatrists, psychologists do not earn a doctor of medicine from medical school. While both focus on mental health, psychiatrists also prescribe medications and facilitate medication plans. Psychologists generally focus on psychotherapy-based treatment plans and rarely handle medications. ",https://money.usnews.com/careers/best-jobs/psychologist,1,0,psychologists,9,107
Industrial Psychologist,Science,"Industrial psychologists aim to find solutions for organizations after evaluating the problems the organization faces. These professionals typically run their own small businesses and work for consulting firms, corporations, hospitals and the government.",105310.0,100.0,6.0,8.1,10.0,4.0,6.0,6.0,Average,Average,Average,"Industrial Psychologists made a median salary of $105,310 in 2021. The best-paid 25% made $135,070 that year, while the lowest-paid 25% made $79,590. To enter the field of industrial psychology, a master's degree in industrial/organizational psychology, known as I/O or IOP, is required. According to Poteet, a master's degree gives you a somewhat narrow breadth of training in the field. A doctoral degree gives you a broader education and allows you access to academic, research and scientific jobs that aren't open to candidates with just a master's degree. ",https://money.usnews.com/careers/best-jobs/industrial-psychologist,1,0,degree,4,109
Forensic Science Technician,Science,"If your dream job involves trying to help solve a crime, you should look into becoming a forensic science technician. These professionals collect and analyze evidence and focus either on lab work or investigating crime scenes.",61930.0,2000.0,5.4,6.2,6.0,4.0,4.0,4.0,Average,Above Average,Below Average,"Forensic Science Technicians made a median salary of $61,930 in 2021. The best-paid 25% made $80,670 that year, while the lowest-paid 25% made $47,750. Because there are an array of positions under the aegis of forensic science technician, it follows that there are a variety of ways to train for them.  To become a crime scene investigator, or CSI, a professional who collects and documents evidence from a crime scene, you may need to graduate from a police academy as a police officer. Although a basic understanding of the life sciences might be helpful for this job, many CSIs receive on-the-job training.  To become a criminalist, a professional who analyzes and evaluates evidence, you'll need to obtain at least an undergraduate degree in one of the natural sciences, typically chemistry or biology. Some universities also offer a bachelor's degree in forensic science, but Singer recommends opting for a bachelor's degree in one of the natural sciences and then going on to get a master's degree in forensic science. ""A bachelor's will give you a firm foundation in the sciences, while a master's in forensic science will teach you how to apply that science,"" he said.  There are a number of licenses and certifications that forensic science technicians can receive, which display aptitude in certain areas of forensic science.  ",https://money.usnews.com/careers/best-jobs/forensic-science-technician,0,0,science,8,111
Environmental Science and Protection Technician,Science,Organizations ranging from consulting firms to testing laboratories employ environmental science and protection technicians. These technicians are public health officials who protect human health by monitoring the environment.,47370.0,2100.0,5.2,5.4,,6.0,8.0,6.0,Average,Below Average,Average,"Environmental Science and Protection Technicians made a median salary of $47,370 in 2021. The best-paid 25% made $59,860 that year, while the lowest-paid 25% made $37,210. Many environmental science and protection technicians get a two-year associate degree in environmental science, environmental health, public health or another related field. Some jobs, however, will require a bachelor's degree. Whatever the degree, coursework will likely include chemistry, biology, geology and physics. Some programs will also include training in remote sensing and geographic information systems. ",https://money.usnews.com/careers/best-jobs/environmental-science-and-protection-technician,1,1,environmental,4,113
Survey Researcher,Science,Many different organizations are employing survey researchers to design surveys and gather and analyze data for them. Those in this profession must be thoughtful about numbers.,59740.0,700.0,5.0,6.1,,6.0,8.0,6.0,Average,Below Average,Average,"Survey Researchers made a median salary of $59,740 in 2021. The best-paid 25% made $78,560 that year, while the lowest-paid 25% made $38,840. In general, those with a bachelor's degree are eligible for entry-level positions in conducting surveys. Those with higher degrees will likely be the professionals designing and analyzing the surveys.""There are a lot of different components [in survey research,] conducting surveys, analyzing surveys, writing about surveys, so depending on what organization you're working for or what piece you're doing, you could have different levels of education,"" Brodie says. ",https://money.usnews.com/careers/best-jobs/survey-researcher,1,1,surveys,5,115
Anthropologist,Science,"Anthropologists believe in applying their knowledge of humans of the past and present to practical positions such as consultants, researchers or government workers to help solve global issues.",61910.0,500.0,5.0,6.2,6.0,4.0,6.0,6.0,Average,Average,Average,"Anthropologists made a median salary of $61,910 in 2021. The best-paid 25% made $78,930 that year, while the lowest-paid 25% made $48,420. There are undergraduate, graduate and Ph.D. programs in anthropology. Generally, the more education you have, the more job opportunities there will be. Liebow says, ""People who have a bachelor's degree in anthropology can find jobs that use their training. The more advanced the degree, the more likely you'll be specialized and have more responsibility, span of control, scope of authority.""He also says, ""If you have a bachelor's degree, you have a number of critical reading, writing and math skills, and you're in a good position to take assignments from someone else and carry them out under supervision. If you have an advanced degree, you're thinking up the assignments and giving them to the people you supervise."" ",https://money.usnews.com/careers/best-jobs/anthropologist,1,0,degree,4,117
Archaeologist,Science,"Like Indiana Jones, archaeologists often work as professors, as well as museum curators, in cultural heritage management and sometimes even as worldwide adventurers similar to Indy himself.",61910.0,500.0,4.7,6.2,6.0,2.0,6.0,4.0,Average,Average,Below Average,"Archaeologists made a median salary of $61,910 in 2021. The best-paid 25% made $78,930 that year, while the lowest-paid 25% made $48,420. To land most jobs in this field, budding archaeologists will need to acquire a master's degree – and in some cases, a doctoral degree. A master's degree usually allows these professionals to advance beyond entry-level positions, but a Ph.D. offers further mobility into international project work, university teaching positions or museum curator positions. All jobs will likely require applicants to have extensive field experience. Gifford-Gonzalez says you can find different field schools through the Archaeological Institute of America's website. You can also gain field school experience through lower-cost ""Passport in Time"" programs offered through the U.S. Forest Service.However, Gifford-Gonzalez recommends that students go out on an archaeological dig before they go to school. ""You need to find out whether you're really cut out for archaeology. [On a dig,] you'll either be too hot or too cold. You may have to camp out and eat monotonous food. You're expected to work collaboratively. It's not just about digging square holes in the ground. Sometimes people who have loved the theory and abstract of the classroom find they don’t love the actual job."" ",https://money.usnews.com/careers/best-jobs/archaeologist,0,0,field,4,119
Geographer,Science,"Geographers specialize in areas including physical geography, human geography and geospatial technology. The U.S. government employs more than half of all geographers.",85220.0,0.0,4.4,7.3,4.0,2.0,6.0,6.0,Average,Average,Average,"Geographers made a median salary of $85,220 in 2021. The best-paid 25% made $102,060 that year, while the lowest-paid 25% made $64,740. If an applicant has prior work experience and a deep knowledge of GIS (a computer hardware and software that collects, stores, retrieves, manipulates, analyzes and displays spatial data), he or she might be able to land an entry-level position in the federal government or a nonprofit with a bachelor's degree. However, other jobs require a master's degree in geography. These geography programs include coursework in physical and human geography, statistics and mathematics, as well as geospatial technology, such as GIS and remote sensing (a method of capturing data of the earth from a distance using airplane sensors or satellites). Other courses might include business, economics and real estate, as geographers are increasingly specializing in these areas of private industry. Geographers may need to hold a Ph.D. for research or teaching positions. ",https://money.usnews.com/careers/best-jobs/geographer,1,0,geographers,3,121
Construction Manager,Construction,"Construction managers help plan projects, estimate cost, team-up with laborers during the production stage and more.",98890.0,36400.0,6.4,7.9,4.0,8.0,2.0,4.0,Above Average,High,Below Average,"Construction Managers made a median salary of $98,890 in 2021. The best-paid 25% made $127,110 that year, while the lowest-paid 25% made $76,960. People take a variety of routes to enter the construction field, though it’s common for construction managers to have a combination of experience and a bachelor’s degree in construction, engineering or a related field.“Bachelor’s degree programs in construction-related majors often include courses in project control and management, design, construction methods and materials, and cost estimation,” according to the BLS. “Courses in business, mathematics and communication are also helpful.”Earning a college degree and completing an internship program is just one way to start your career path toward construction management. Other individuals join the industry and advance after extensive on-the-job training. They may get an entry-level job with a small construction company in the contracts or compliance department before moving to a different department, such as estimating, and gradually build a knowledge base of the construction industry as an employee.“Now, all of a sudden, we’re building that well-rounded team member who can add value in different parts of the organization on a much larger scale,” Herman says. “So that desire for young talent to come in and just be really curious is important because there are a lot of facets of construction.“A degree is helpful. However, experience in construction goes a long way,” he adds.Some states require construction managers to be licensed, according to the BLS. Check with the licensing office for the state you’ll be working in to determine if that applies to you. ",https://money.usnews.com/careers/best-jobs/construction-manager,0,1,construction,12,123
Electrician,Construction,"Electricians design, install, maintain and repair motors, equipment or electrical systems for businesses and residences.",60040.0,50200.0,5.9,6.1,4.0,8.0,4.0,4.0,Below Average,Above Average,Below Average,"Electricians made a median salary of $60,040 in 2021. The best-paid 25% made $77,350 that year, while the lowest-paid 25% made $46,900. Electricians usually go through an apprenticeship program that lasts four or five years. Apprenticeship programs consist of classroom instruction and practical on-the-job training. While these programs typically only require a high school diploma or equivalent for admission, some people choose to first earn an associate in applied science degree in electrical construction or another related field from a technical college.“Technical instruction for apprentices includes electrical theory, blueprint reading, mathematics, electrical code requirements, and safety and first aid practices,” according to the BLS. “They may also receive specialized training related to soldering, communications, fire alarm systems and elevators.”Electricians need to be licensed to practice in most states, although license requirements vary. In some states, these requirements are set at the local level rather than the state level, so anyone pursuing a career as an electrician should learn their municipality’s licensing requirements. License types also vary – some states have one license for all electricians, while others have specialty licenses such as journeyman electrician and master electrician.In Minnesota, where Atkins works, apprentices must be registered as unlicensed electricians with the state Department of Labor and Industry and work under the supervision of a licensed journeyworker until they qualify to sit for a licensing exam themselves.“Once you get that license, you’re allowed legally to work by yourself, unsupervised,” Atkins says of his state’s Class A journeyworker electrician license. ",https://money.usnews.com/careers/best-jobs/electrician,0,1,electricians,5,125
Solar Photovoltaic Installer,Construction,"Solar photovoltaic installers put together, implement and maintain solar panels on the rooftops of homes and other buildings.",47670.0,4600.0,5.8,5.5,,4.0,4.0,6.0,Below Average,Above Average,Average,"Solar Photovoltaic Installers made a median salary of $47,670 in 2021. The best-paid 25% made $59,010 that year, while the lowest-paid 25% made $37,990. Some solar photovoltaic installers can get jobs with a high school diploma and the willingness to learn the trade on the job, which can take anywhere from a month to a year. There are also certificate programs and technical college courses, which usually take a few months to complete. In the courses, students will learn everything from safety measures to the proper way to install panels.  ",https://money.usnews.com/careers/best-jobs/solar-photovoltaic-installer,1,0,solar,2,127
Construction Worker,Construction,"Construction workers are the jack of all trades of construction personnel, assisting tradespeople with the labor required to get the job done at construction sites.",37770.0,71900.0,4.8,4.9,2.0,8.0,2.0,4.0,High,High,Below Average,"Construction Workers made a median salary of $37,770 in 2021. The best-paid 25% made $48,040 that year, while the lowest-paid 25% made $30,780. Working as a general construction worker is an excellent introduction and gateway to other specialties within construction. There aren't formal education requirements to start out, and you'll receive ample on-the-job training. You'll most likely get your feet wet performing simple, safe tasks – cleanup, for instance – while shadowing more experienced workers on a job site. General laborers usually find a preference for a specific trade and might enter a formal apprenticeship program and begin the process to receive certification in a specialty. ",https://money.usnews.com/careers/best-jobs/construction-worker,0,1,construction,3,129
Glazier,Construction,"Glaziers are the construction professionals who make it possible for you to gaze out a window or fill a room with natural light from a skylight. These workers follow blueprints to cut, install and fasten glass in buildings.",47180.0,2300.0,4.5,5.4,2.0,6.0,4.0,10.0,Average,Above Average,High,"Glaziers made a median salary of $47,180 in 2021. The best-paid 25% made $60,150 that year, while the lowest-paid 25% made $37,630. Most glaziers learn the trade through an apprenticeship program, according to Renne. Nonunion training tends to be provided in on-the-job situations, he says, whereas the International Union of Painters and Allied Trades offers a three-year training and apprenticeship program at various sites throughout the country. The commercial glazier apprenticeship requires 144 hours of technical training per year and 8,000 hours of paid on-the-job training, which is roughly four years, according to the Finishing Trades Institute Northwest. Training includes the use of tools and equipment, how to handle, measure, cut and install glass, how to work with molding materials, installation techniques, basic math and blueprint reading and sketching. Some states require glaziers to be licensed, which involves passing a test and meeting education and experience requirements. ",https://money.usnews.com/careers/best-jobs/glazier,1,1,training,5,132
Carpenter,Construction,Carpenters’ work goes beyond the already difficult labor of contracting frameworks and structures; these professionals perform calculations ranging from simple math to complex trigonometric formulas to get the job done.,48260.0,20500.0,4.4,5.5,2.0,6.0,6.0,6.0,Above Average,Average,Average,"Carpenters made a median salary of $48,260 in 2021. The best-paid 25% made $61,980 that year, while the lowest-paid 25% made $38,240. After earning a high school diploma or its equivalent, prospective carpenters should complete an apprenticeship program. Weisling says this is the best way to learn the ropes of the profession. Requirements vary by region and program, but carpentry apprentices must complete a set number of hours of technical training and paid on-the-job training in the areas of basic carpentry, blueprint reading, mathematics and building code requirements. Additional requirements include completing and passing safety training courses. Carpenters may also receive additional training in specialized areas, like scaffold building. Prospective carpenters should research union and contractor associations in their cities or towns, as several of them sponsor apprenticeship programs.  ",https://money.usnews.com/careers/best-jobs/carpenter,1,1,carpenters,4,135
